DSType;dataType;numPoints;numColors;gamma;alpha;s;k;rangeSpace;rangeBuildTime;rangeQueryTime;modeSpace;modeBuildTime;modeQueryTime;modeQueryTimeExcludingFirst
AAS2DModeReportDS;synthetic;250000;1;0;0;62;10;163611376;452641900;90630;159611376;383672800;3320;3202
AAS2DModeReportDS;synthetic;250000;1;0;0;62;100;163611376;452641900;97587;159611376;383672800;5908;5761
AAS2DModeReportDS;synthetic;250000;1;0;0;62;1000;163611376;452641900;99422;159611376;383672800;26581;26436
AAS2DModeReportDS;synthetic;250000;1;0;0;62;5000;163611376;452641900;103251;159611376;383672800;90955;90866
AAS2DModeReportDS;synthetic;250000;1;0;0;62;10000;163611376;452641900;104930;159611376;383672800;150697;150517
AAS2DModeReportDS;synthetic;250000;1;0;0;62;25000;163611376;452641900;105397;159611376;383672800;288820;287966
AAS2DModeReportDS;synthetic;250000;1;0;0;62;50000;163611376;452641900;104466;159611376;383672800;757676;757471
AAS2DModeReportDS;synthetic;250000;1;0;0;62;75000;163611376;452641900;102823;159611376;383672800;1274381;1275000
AAS2DModeReportDS;synthetic;250000;1;0;0;62;100000;163611376;452641900;101608;159611376;383672800;1735775;1735271
AAS2DModeReportDS;synthetic;250000;1;0;0;62;150000;163611376;452641900;98275;159611376;383672800;2719373;2717699
AAS2DModeReportDS;synthetic;250000;1;0;0;62;200000;163611376;452641900;92788;159611376;383672800;3683025;3686116
AAS2DModeReportDS;synthetic;250000;1;0;0;62;250000;163611376;452641900;87064;159611376;383672800;4440563;4443914
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;10;163611376;418349700;91234;159611376;407620600;2271;2183
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;100;163611376;418349700;94386;159611376;407620600;2518;2406
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;1000;163611376;418349700;112082;159611376;407620600;2912;2775
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;5000;163611376;418349700;103411;159611376;407620600;3039;2892
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;10000;163611376;418349700;104923;159611376;407620600;3016;2876
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;25000;163611376;418349700;105549;159611376;407620600;2898;2753
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;50000;163611376;418349700;104598;159611376;407620600;2613;2504
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;75000;163611376;418349700;102955;159611376;407620600;2437;2335
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;100000;163611376;418349700;101478;159611376;407620600;2306;2205
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;150000;163611376;418349700;97382;159611376;407620600;1862;1776
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;200000;163611376;418349700;93153;159611376;407620600;1117;1065
AAS2DModePerColorDS;synthetic;250000;1;0;0;62;250000;163611376;418349700;86697;159611376;407620600;56;56
AAS2DModeGridDS;synthetic;250000;1;0;0;62;10;163611376;419324700;91690;180039964;19309991200;44823;44684
AAS2DModeGridDS;synthetic;250000;1;0;0;62;100;163611376;419324700;94582;180039964;19309991200;48598;48583
AAS2DModeGridDS;synthetic;250000;1;0;0;62;1000;163611376;419324700;99588;180039964;19309991200;54846;54840
AAS2DModeGridDS;synthetic;250000;1;0;0;62;5000;163611376;419324700;103852;180039964;19309991200;62900;62799
AAS2DModeGridDS;synthetic;250000;1;0;0;62;10000;163611376;419324700;105309;180039964;19309991200;67803;67703
AAS2DModeGridDS;synthetic;250000;1;0;0;62;25000;163611376;419324700;105790;180039964;19309991200;75575;75496
AAS2DModeGridDS;synthetic;250000;1;0;0;62;50000;163611376;419324700;103761;180039964;19309991200;80532;80461
AAS2DModeGridDS;synthetic;250000;1;0;0;62;75000;163611376;419324700;102613;180039964;19309991200;81138;81080
AAS2DModeGridDS;synthetic;250000;1;0;0;62;100000;163611376;419324700;100513;180039964;19309991200;78723;78614
AAS2DModeGridDS;synthetic;250000;1;0;0;62;150000;163611376;419324700;96461;180039964;19309991200;72331;72262
AAS2DModeGridDS;synthetic;250000;1;0;0;62;200000;163611376;419324700;91976;180039964;19309991200;67792;67760
AAS2DModeGridDS;synthetic;250000;1;0;0;62;250000;163611376;419324700;85787;180039964;19309991200;70315;70327
Amc::GridSelectColor;synthetic;250000;1;0;0;62;10;163611376;423004900;91892;212138252;82340250400;10778;10539
Amc::GridSelectColor;synthetic;250000;1;0;0;62;100;163611376;423004900;95399;212138252;82340250400;27193;26691
Amc::GridSelectColor;synthetic;250000;1;0;0;62;1000;163611376;423004900;100250;212138252;82340250400;59308;58631
Amc::GridSelectColor;synthetic;250000;1;0;0;62;5000;163611376;423004900;104411;212138252;82340250400;74645;74185
Amc::GridSelectColor;synthetic;250000;1;0;0;62;10000;163611376;423004900;105683;212138252;82340250400;83188;82638
Amc::GridSelectColor;synthetic;250000;1;0;0;62;25000;163611376;423004900;105862;212138252;82340250400;99993;99493
Amc::GridSelectColor;synthetic;250000;1;0;0;62;50000;163611376;423004900;104675;212138252;82340250400;114190;113773
Amc::GridSelectColor;synthetic;250000;1;0;0;62;75000;163611376;423004900;102428;212138252;82340250400;121807;121415
Amc::GridSelectColor;synthetic;250000;1;0;0;62;100000;163611376;423004900;101725;212138252;82340250400;124598;124164
Amc::GridSelectColor;synthetic;250000;1;0;0;62;150000;163611376;423004900;97293;212138252;82340250400;124425;124096
Amc::GridSelectColor;synthetic;250000;1;0;0;62;200000;163611376;423004900;92271;212138252;82340250400;127842;127439
Amc::GridSelectColor;synthetic;250000;1;0;0;62;250000;163611376;423004900;87230;212138252;82340250400;145966;145929
AAS2DModeReportDS;synthetic;250000;100;0;0;62;10;163611376;422075100;101290;159611376;429446600;3844;3718
AAS2DModeReportDS;synthetic;250000;100;0;0;62;100;163611376;422075100;95026;159611376;429446600;11562;11407
AAS2DModeReportDS;synthetic;250000;100;0;0;62;1000;163611376;422075100;99602;159611376;429446600;58564;58443
AAS2DModeReportDS;synthetic;250000;100;0;0;62;5000;163611376;422075100;104101;159611376;429446600;223642;223492
AAS2DModeReportDS;synthetic;250000;100;0;0;62;10000;163611376;422075100;104836;159611376;429446600;401937;401640
AAS2DModeReportDS;synthetic;250000;100;0;0;62;25000;163611376;422075100;106196;159611376;429446600;888449;888483
AAS2DModeReportDS;synthetic;250000;100;0;0;62;50000;163611376;422075100;104392;159611376;429446600;2005748;2005437
AAS2DModeReportDS;synthetic;250000;100;0;0;62;75000;163611376;422075100;102857;159611376;429446600;3197278;3197452
AAS2DModeReportDS;synthetic;250000;100;0;0;62;100000;163611376;422075100;101021;159611376;429446600;4323400;4324723
AAS2DModeReportDS;synthetic;250000;100;0;0;62;150000;163611376;422075100;97174;159611376;429446600;6668969;6666349
AAS2DModeReportDS;synthetic;250000;100;0;0;62;200000;163611376;422075100;92320;159611376;429446600;8980793;8983935
AAS2DModeReportDS;synthetic;250000;100;0;0;62;250000;163611376;422075100;86531;159611376;429446600;11145429;11145749
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;10;163611376;422313300;95520;106891200;282736400;75910;74270
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;100;163611376;422313300;95500;106891200;282736400;87004;86097
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;1000;163611376;422313300;100961;106891200;282736400;106547;105642
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;5000;163611376;422313300;104535;106891200;282736400;118627;117286
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;10000;163611376;422313300;106826;106891200;282736400;120403;120003
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;25000;163611376;422313300;107076;106891200;282736400;120019;119337
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;50000;163611376;422313300;106012;106891200;282736400;113199;112675
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;75000;163611376;422313300;104992;106891200;282736400;107595;107070
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;100000;163611376;422313300;103181;106891200;282736400;101502;101148
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;150000;163611376;422313300;98799;106891200;282736400;82218;81538
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;200000;163611376;422313300;94055;106891200;282736400;54196;53550
AAS2DModePerColorDS;synthetic;250000;100;0;0;62;250000;163611376;422313300;87721;106891200;282736400;4498;4497
AAS2DModeGridDS;synthetic;250000;100;0;0;62;10;163611376;427302800;91824;127319788;42481136200;52055;51693
AAS2DModeGridDS;synthetic;250000;100;0;0;62;100;163611376;427302800;95343;127319788;42481136200;117667;117338
AAS2DModeGridDS;synthetic;250000;100;0;0;62;1000;163611376;427302800;100069;127319788;42481136200;181438;180748
AAS2DModeGridDS;synthetic;250000;100;0;0;62;5000;163611376;427302800;103916;127319788;42481136200;202099;201646
AAS2DModeGridDS;synthetic;250000;100;0;0;62;10000;163611376;427302800;104917;127319788;42481136200;209541;209353
AAS2DModeGridDS;synthetic;250000;100;0;0;62;25000;163611376;427302800;106172;127319788;42481136200;216450;216326
AAS2DModeGridDS;synthetic;250000;100;0;0;62;50000;163611376;427302800;105050;127319788;42481136200;214550;214433
AAS2DModeGridDS;synthetic;250000;100;0;0;62;75000;163611376;427302800;103768;127319788;42481136200;208150;207808
AAS2DModeGridDS;synthetic;250000;100;0;0;62;100000;163611376;427302800;103395;127319788;42481136200;200917;200722
AAS2DModeGridDS;synthetic;250000;100;0;0;62;150000;163611376;427302800;99006;127319788;42481136200;174378;174160
AAS2DModeGridDS;synthetic;250000;100;0;0;62;200000;163611376;427302800;93874;127319788;42481136200;135489;135124
AAS2DModeGridDS;synthetic;250000;100;0;0;62;250000;163611376;427302800;88214;127319788;42481136200;86692;86703
Amc::GridSelectColor;synthetic;250000;100;0;0;62;10;163611376;423784600;91873;156343032;85357534600;19511;19152
Amc::GridSelectColor;synthetic;250000;100;0;0;62;100;163611376;423784600;95375;156343032;85357534600;104225;103646
Amc::GridSelectColor;synthetic;250000;100;0;0;62;1000;163611376;423784600;100694;156343032;85357534600;214967;214196
Amc::GridSelectColor;synthetic;250000;100;0;0;62;5000;163611376;423784600;103515;156343032;85357534600;249969;249459
Amc::GridSelectColor;synthetic;250000;100;0;0;62;10000;163611376;423784600;105069;156343032;85357534600;259948;258715
Amc::GridSelectColor;synthetic;250000;100;0;0;62;25000;163611376;423784600;105383;156343032;85357534600;273327;273085
Amc::GridSelectColor;synthetic;250000;100;0;0;62;50000;163611376;423784600;104437;156343032;85357534600;278418;277673
Amc::GridSelectColor;synthetic;250000;100;0;0;62;75000;163611376;423784600;102214;156343032;85357534600;279213;278419
Amc::GridSelectColor;synthetic;250000;100;0;0;62;100000;163611376;423784600;101291;156343032;85357534600;274920;273924
Amc::GridSelectColor;synthetic;250000;100;0;0;62;150000;163611376;423784600;98633;156343032;85357534600;253967;253456
Amc::GridSelectColor;synthetic;250000;100;0;0;62;200000;163611376;423784600;93591;156343032;85357534600;220081;219287
Amc::GridSelectColor;synthetic;250000;100;0;0;62;250000;163611376;423784600;86906;156343032;85357534600;181060;181028
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;10;163611376;429289200;92299;159611376;430767600;3840;3716
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;100;163611376;429289200;95785;159611376;430767600;13439;13288
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;1000;163611376;429289200;103609;159611376;430767600;102515;102452
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;5000;163611376;429289200;104187;159611376;430767600;371726;372943
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;10000;163611376;429289200;106571;159611376;430767600;625243;625154
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;25000;163611376;429289200;107208;159611376;430767600;1351775;1351590
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;50000;163611376;429289200;106446;159611376;430767600;2806543;2807606
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;75000;163611376;429289200;104973;159611376;430767600;4323668;4326301
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;100000;163611376;429289200;103945;159611376;430767600;5719229;5719804
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;150000;163611376;429289200;99181;159611376;430767600;8648889;8650148
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;200000;163611376;429289200;93987;159611376;430767600;11528693;11526421
AAS2DModeReportDS;synthetic;250000;1000;0;0;62;250000;163611376;429289200;89078;159611376;430767600;14091848;14088930
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;10;163611376;420591500;92514;79914592;218746100;324604;324111
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;100;163611376;420591500;95895;79914592;218746100;439414;438107
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;1000;163611376;420591500;100685;79914592;218746100;579844;580460
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;5000;163611376;420591500;104165;79914592;218746100;672633;671858
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;10000;163611376;420591500;104639;79914592;218746100;695594;694089
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;25000;163611376;420591500;106084;79914592;218746100;716918;714913
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;50000;163611376;420591500;103979;79914592;218746100;703544;702352
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;75000;163611376;420591500;104084;79914592;218746100;677430;674513
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;100000;163611376;420591500;101266;79914592;218746100;651554;652003
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;150000;163611376;420591500;96770;79914592;218746100;570608;570910
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;200000;163611376;420591500;92706;79914592;218746100;368077;366151
AAS2DModePerColorDS;synthetic;250000;1000;0;0;62;250000;163611376;420591500;87884;79914592;218746100;49403;49396
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;10;163611376;419875500;92710;100332556;72261040300;48763;48460
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;100;163611376;419875500;96408;100332556;72261040300;109124;108516
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;1000;163611376;419875500;103722;100332556;72261040300;368498;367523
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;5000;163611376;419875500;104350;100332556;72261040300;640756;640417
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;10000;163611376;419875500;106553;100332556;72261040300;764486;764690
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;25000;163611376;419875500;106527;100332556;72261040300;869959;868568
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;50000;163611376;419875500;105369;100332556;72261040300;898429;897762
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;75000;163611376;419875500;104508;100332556;72261040300;890975;890234
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;100000;163611376;419875500;102534;100332556;72261040300;858430;859106
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;150000;163611376;419875500;99922;100332556;72261040300;775001;774370
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;200000;163611376;419875500;94796;100332556;72261040300;558320;557720
AAS2DModeGridDS;synthetic;250000;1000;0;0;62;250000;163611376;419875500;88563;100332556;72261040300;184155;184074
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;10;163611376;423922700;92957;127394552;101591326900;15559;15169
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;100;163611376;423922700;94894;127394552;101591326900;100268;100056
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;1000;163611376;423922700;100766;127394552;101591326900;445954;445467
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;5000;163611376;423922700;104902;127394552;101591326900;785263;785721
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;10000;163611376;423922700;106239;127394552;101591326900;917895;918469
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;25000;163611376;423922700;108004;127394552;101591326900;1070267;1070301
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;50000;163611376;423922700;106105;127394552;101591326900;1125053;1125479
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;75000;163611376;423922700;104643;127394552;101591326900;1164687;1168478
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;100000;163611376;423922700;103171;127394552;101591326900;1107711;1106709
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;150000;163611376;423922700;98394;127394552;101591326900;1005671;1004217
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;200000;163611376;423922700;93845;127394552;101591326900;756264;754907
Amc::GridSelectColor;synthetic;250000;1000;0;0;62;250000;163611376;423922700;88034;127394552;101591326900;344265;344186
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;10;163611376;426170100;95730;159611376;427443900;3820;3700
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;100;163611376;426170100;96686;159611376;427443900;13605;13479
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;1000;163611376;426170100;100984;159611376;427443900;117040;116876
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;5000;163611376;426170100;104874;159611376;427443900;545250;545036
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;10000;163611376;426170100;105010;159611376;427443900;995235;995408
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;25000;163611376;426170100;105287;159611376;427443900;2104322;2104059
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;50000;163611376;426170100;105260;159611376;427443900;4181112;4181777
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;75000;163611376;426170100;103997;159611376;427443900;6272274;6279771
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;100000;163611376;426170100;103468;159611376;427443900;8353614;8352325
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;150000;163611376;426170100;98618;159611376;427443900;12651232;12656322
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;200000;163611376;426170100;93484;159611376;427443900;16295570;16228783
AAS2DModeReportDS;synthetic;250000;5000;0;0;62;250000;163611376;426170100;88390;159611376;427443900;19548508;19550475
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;10;163611376;421791900;93725;61694304;195427900;757184;757682
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;100;163611376;421791900;96445;61694304;195427900;1080173;1078908
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;1000;163611376;421791900;101837;61694304;195427900;1657495;1656600
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;5000;163611376;421791900;104567;61694304;195427900;2072123;2071927
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;10000;163611376;421791900;106803;61694304;195427900;2227293;2225682
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;25000;163611376;421791900;106786;61694304;195427900;2354153;2353362
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;50000;163611376;421791900;105442;61694304;195427900;2381912;2383454
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;75000;163611376;421791900;104625;61694304;195427900;2297892;2297723
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;100000;163611376;421791900;103598;61694304;195427900;2265510;2265530
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;150000;163611376;421791900;99204;61694304;195427900;2042237;2040752
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;200000;163611376;421791900;93740;61694304;195427900;1443281;1443920
AAS2DModePerColorDS;synthetic;250000;5000;0;0;62;250000;163611376;421791900;88469;61694304;195427900;210845;210827
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;10;163611376;426437800;93883;82120236;121693940600;46994;46767
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;100;163611376;426437800;96675;82120236;121693940600;91848;91104
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;1000;163611376;426437800;101894;82120236;121693940600;339668;338396
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;5000;163611376;426437800;105238;82120236;121693940600;732956;731715
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;10000;163611376;426437800;106547;82120236;121693940600;1000788;998970
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;25000;163611376;426437800;107322;82120236;121693940600;1456103;1453311
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;50000;163611376;426437800;106582;82120236;121693940600;1857223;1853626
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;75000;163611376;426437800;105073;82120236;121693940600;2085023;2086294
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;100000;163611376;426437800;103757;82120236;121693940600;2219121;2216047
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;150000;163611376;426437800;98937;82120236;121693940600;2573432;2603137
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;200000;163611376;426437800;100856;82120236;121693940600;2152058;2143217
AAS2DModeGridDS;synthetic;250000;5000;0;0;62;250000;163611376;426437800;93039;82120236;121693940600;723796;723224
Amc::GridSelectColor;synthetic;250000;5000;0;0;62;10;163611376;451754800;93559;107799128;172264545400;14094;13720
Amc::GridSelectColor;synthetic;250000;5000;0;0;62;100;163611376;451754800;96253;107799128;172264545400;84412;83865
Amc::GridSelectColor;synthetic;250000;5000;0;0;62;1000;163611376;451754800;102342;107799128;172264545400;438514;439038
